"","Site","Date","Depth","DO","%_DO","Temp","Year","Month","Layer","Layer_Spline"
"1","BREK",1995-04-12,0,12.9,NA,4.7,"1995","Apr","No Thermocline","No Thermocline"
"2","BREK",1995-04-12,5,12.4,NA,4.7,"1995","Apr","No Thermocline","No Thermocline"
"3","BREK",1995-04-12,10,12.1,NA,4.6,"1995","Apr","No Thermocline","No Thermocline"
"4","BREK",1995-05-03,1,12.6,NA,7,"1995","May","No Thermocline","No Thermocline"
"5","BREK",1995-05-03,7,12.2,NA,6.2,"1995","May","No Thermocline","No Thermocline"
"6","BREK",1995-05-22,1,12.9,NA,10.6,"1995","May","No Thermocline","No Thermocline"
"7","BREK",1995-05-22,8,12,NA,9,"1995","May","No Thermocline","No Thermocline"
"8","BREK",1995-06-12,1,7.7,NA,15.7,"1995","Jun","No Thermocline","No Thermocline"
"9","BREK",1995-06-12,9,7.6,NA,14.1,"1995","Jun","No Thermocline","No Thermocline"
"10","BREK",1995-07-05,1,9.9,NA,18.6,"1995","Jul","No Thermocline","No Thermocline"
"11","BREK",1995-07-05,7,9.8,NA,17.9,"1995","Jul","No Thermocline","No Thermocline"
"12","BREK",1995-09-21,1,9.2,NA,17.9,"1995","Sep","No Thermocline","No Thermocline"
"13","BREK",1995-09-21,9,8.6,NA,17.6,"1995","Sep","No Thermocline","No Thermocline"
"14","BREK",2017-05-22,0.1,9.51,91,13.3,"2017","May","Epilimnion","Epilimnion"
"15","BREK",2017-05-22,1,9.6,91.3,13.1,"2017","May","Epilimnion","Epilimnion"
"16","BREK",2017-05-22,2,9.65,91.2,12.8,"2017","May","Epilimnion","Epilimnion"
"17","BREK",2017-05-22,3,9.68,91,12.6,"2017","May","Thermocline","Thermocline"
"18","BREK",2017-05-22,4,10.34,92,10.2,"2017","May","Hypolimnion","Thermocline"
"19","BREK",2017-06-19,0.1,8.83,90.2,16.4,"2017","Jun","No Thermocline","No Thermocline"
"20","BREK",2017-06-19,1,8.81,89.9,16.3,"2017","Jun","No Thermocline","No Thermocline"
"21","BREK",2017-06-19,2,8.83,89.7,16.1,"2017","Jun","No Thermocline","No Thermocline"
"22","BREK",2017-06-19,3,8.83,89.3,15.9,"2017","Jun","No Thermocline","No Thermocline"
"23","BREK",2017-06-19,4,8.81,88.1,15.4,"2017","Jun","No Thermocline","No Thermocline"
"24","BREK",2017-06-19,5,8.84,88.1,15.2,"2017","Jun","No Thermocline","No Thermocline"
"25","BREK",2017-07-17,0.1,7.32,85.2,22.9,"2017","Jul","No Thermocline","No Thermocline"
"26","BREK",2017-07-17,1,7.34,85.3,22.8,"2017","Jul","No Thermocline","No Thermocline"
"27","BREK",2017-07-17,2,7.34,85.2,22.8,"2017","Jul","No Thermocline","No Thermocline"
"28","BREK",2017-07-17,3,7.34,85.1,22.7,"2017","Jul","No Thermocline","No Thermocline"
"29","BREK",2017-07-17,4,7.74,89.9,22.4,"2017","Jul","No Thermocline","No Thermocline"
"30","BREK",2017-08-21,0.1,7.36,84.9,22.4,"2017","Aug","No Thermocline","No Thermocline"
"31","BREK",2017-08-21,1,7.38,84.9,22.3,"2017","Aug","No Thermocline","No Thermocline"
"32","BREK",2017-08-21,2,7.37,84.7,22.3,"2017","Aug","No Thermocline","No Thermocline"
"33","BREK",2017-08-21,3,7.36,84.6,22.2,"2017","Aug","No Thermocline","No Thermocline"
"34","BREK",2017-08-21,4,7.35,84.4,22.2,"2017","Aug","No Thermocline","No Thermocline"
"35","BREK",2017-09-25,0.1,8.08,83.1,16.7,"2017","Sep","No Thermocline","No Thermocline"
"36","BREK",2017-09-25,1,8.09,83,16.6,"2017","Sep","No Thermocline","No Thermocline"
"37","BREK",2017-09-25,2,8.08,82.9,16.6,"2017","Sep","No Thermocline","No Thermocline"
"38","BREK",2017-09-25,3,8.07,82.8,16.6,"2017","Sep","No Thermocline","No Thermocline"
"39","BREK",2017-09-25,4,8.55,87.3,16.2,"2017","Sep","No Thermocline","No Thermocline"
"40","BREK",2017-10-16,0.1,8.65,81.6,12.7,"2017","Oct","Epilimnion","Epilimnion"
"41","BREK",2017-10-16,1,8.64,81.1,12.6,"2017","Oct","Epilimnion","Epilimnion"
"42","BREK",2017-10-16,2,8.62,80.9,12.5,"2017","Oct","Epilimnion","Epilimnion"
"43","BREK",2017-10-16,3,8.61,80.5,12.4,"2017","Oct","Thermocline","Epilimnion"
"44","BREK",2017-10-16,4,8.96,81.3,11,"2017","Oct","Hypolimnion","Thermocline"
"45","BREK",2020-06-25,0.01,8.55,89.1,17.1,"2020","Jun","No Thermocline","No Thermocline"
"46","BREK",2020-06-25,1,8.76,NA,16.8,"2020","Jun","No Thermocline","No Thermocline"
"47","BREK",2020-06-25,2,8.89,NA,16.2,"2020","Jun","No Thermocline","No Thermocline"
"48","BREK",2020-06-25,3,8.92,NA,15.6,"2020","Jun","No Thermocline","No Thermocline"
"49","BREK",2020-06-25,4,8.99,NA,14.8,"2020","Jun","No Thermocline","No Thermocline"
"50","BREK",2020-06-25,5,8.92,NA,14.6,"2020","Jun","No Thermocline","No Thermocline"
"51","BREK",2020-06-25,6,8.81,NA,14,"2020","Jun","No Thermocline","No Thermocline"
"52","BREK",2020-06-25,7,8.81,NA,13.3,"2020","Jun","No Thermocline","No Thermocline"
"53","BREK",2020-06-25,8,8.8,NA,13.1,"2020","Jun","No Thermocline","No Thermocline"
"54","BREK",2020-06-25,9,8.67,NA,12.8,"2020","Jun","No Thermocline","No Thermocline"
"55","BREK",2020-06-25,10,8.64,NA,12.4,"2020","Jun","No Thermocline","No Thermocline"
"56","BREK",2020-06-25,11,8.5,78.8,12,"2020","Jun","No Thermocline","No Thermocline"
"57","BREK",2020-07-27,0.01,7.32,83.7,21.9,"2020","Jul","Epilimnion","Epilimnion"
"58","BREK",2020-07-27,1,7.37,NA,21.9,"2020","Jul","Epilimnion","Epilimnion"
"59","BREK",2020-07-27,2,7.37,NA,21.8,"2020","Jul","Epilimnion","Epilimnion"
"60","BREK",2020-07-27,3,7.37,NA,21.7,"2020","Jul","Epilimnion","Epilimnion"
"61","BREK",2020-07-27,4,7.36,NA,21.6,"2020","Jul","Epilimnion","Epilimnion"
"62","BREK",2020-07-27,5,7.36,NA,21.5,"2020","Jul","Epilimnion","Epilimnion"
"63","BREK",2020-07-27,6,7.34,NA,21.5,"2020","Jul","Epilimnion","Epilimnion"
"64","BREK",2020-07-27,7,7.34,83.1,21.4,"2020","Jul","Thermocline","Epilimnion"
"65","BREK",2020-07-27,8,7.1,82.9,20.4,"2020","Jul","Thermocline","Thermocline"
"66","BREK",2020-07-27,9,8.21,NA,16.2,"2020","Jul","Thermocline","Thermocline"
"67","BREK",2020-07-27,10,8.53,NA,14.2,"2020","Jul","Thermocline","Thermocline"
