"","Site","Month","Year","Temperature","n_Years","Site_Month"
"1","KALI","Jun",1993,16.7,14,"KALI_Jun"
"2","KALI","Jun",1994,17.2,14,"KALI_Jun"
"3","KALI","Jun",1995,14.6,14,"KALI_Jun"
"4","KALI","Jun",2008,20.2,14,"KALI_Jun"
"5","KALI","Jun",2010,13.35,14,"KALI_Jun"
"6","KALI","Jun",2011,14.15,14,"KALI_Jun"
"7","KALI","Jun",2012,13.9,14,"KALI_Jun"
"8","KALI","Jun",2013,16.9,14,"KALI_Jun"
"9","KALI","Jun",2017,17.3,14,"KALI_Jun"
"10","KALI","Jun",2018,14.45,14,"KALI_Jun"
"11","KALI","Jun",2019,19.9,14,"KALI_Jun"
"12","KALI","Jun",2021,19.75,14,"KALI_Jun"
"13","KALI","Jun",2022,16.1,14,"KALI_Jun"
"14","KALI","Jun",2023,16.85,14,"KALI_Jun"
"15","KALI","Jul",1993,18.85,14,"KALI_Jul"
"16","KALI","Jul",1994,20.5,14,"KALI_Jul"
"17","KALI","Jul",1995,17.7,14,"KALI_Jul"
"18","KALI","Jul",2010,22.35,14,"KALI_Jul"
"19","KALI","Jul",2011,18.75,14,"KALI_Jul"
"20","KALI","Jul",2012,21.05,14,"KALI_Jul"
"21","KALI","Jul",2013,25.15,14,"KALI_Jul"
"22","KALI","Jul",2014,22.1,14,"KALI_Jul"
"23","KALI","Jul",2015,21.75,14,"KALI_Jul"
"24","KALI","Jul",2017,21.6,14,"KALI_Jul"
"25","KALI","Jul",2019,20.7,14,"KALI_Jul"
"26","KALI","Jul",2021,24.05,14,"KALI_Jul"
"27","KALI","Jul",2022,23.95,14,"KALI_Jul"
"28","KALI","Jul",2023,22.55,14,"KALI_Jul"
"29","KALI","Aug",1993,20.2,14,"KALI_Aug"
"30","KALI","Aug",1994,21.6,14,"KALI_Aug"
"31","KALI","Aug",1995,17.1,14,"KALI_Aug"
"32","KALI","Aug",2010,19.1,14,"KALI_Aug"
"33","KALI","Aug",2011,20.6,14,"KALI_Aug"
"34","KALI","Aug",2012,20.85,14,"KALI_Aug"
"35","KALI","Aug",2013,23.35,14,"KALI_Aug"
"36","KALI","Aug",2016,20.7,14,"KALI_Aug"
"37","KALI","Aug",2017,24.85,14,"KALI_Aug"
"38","KALI","Aug",2018,23.25,14,"KALI_Aug"
"39","KALI","Aug",2019,22.6,14,"KALI_Aug"
"40","KALI","Aug",2021,21.05,14,"KALI_Aug"
"41","KALI","Aug",2022,23.4,14,"KALI_Aug"
"42","KALI","Aug",2023,21.3,14,"KALI_Aug"
"43","KALI","Sep",1993,17.85,11,"KALI_Sep"
"44","KALI","Sep",1994,19.6,11,"KALI_Sep"
"45","KALI","Sep",1995,18.2,11,"KALI_Sep"
"46","KALI","Sep",2010,17.35,11,"KALI_Sep"
"47","KALI","Sep",2011,18.3,11,"KALI_Sep"
"48","KALI","Sep",2014,18.7,11,"KALI_Sep"
"49","KALI","Sep",2017,21.15,11,"KALI_Sep"
"50","KALI","Sep",2019,17.3,11,"KALI_Sep"
"51","KALI","Sep",2021,17.25,11,"KALI_Sep"
"52","KALI","Sep",2022,19.6,11,"KALI_Sep"
"53","KALI","Sep",2023,18.75,11,"KALI_Sep"
"54","PLNO","Jun",1990,13.85,21,"PLNO_Jun"
"55","PLNO","Jun",1993,15.3,21,"PLNO_Jun"
"56","PLNO","Jun",1994,16,21,"PLNO_Jun"
"57","PLNO","Jun",1995,14.8,21,"PLNO_Jun"
"58","PLNO","Jun",1997,9.8,21,"PLNO_Jun"
"59","PLNO","Jun",2008,20.05,21,"PLNO_Jun"
"60","PLNO","Jun",2010,13.7,21,"PLNO_Jun"
"61","PLNO","Jun",2011,12.6,21,"PLNO_Jun"
"62","PLNO","Jun",2012,12.5,21,"PLNO_Jun"
"63","PLNO","Jun",2013,14.2,21,"PLNO_Jun"
"64","PLNO","Jun",2014,14.7,21,"PLNO_Jun"
"65","PLNO","Jun",2015,19.3,21,"PLNO_Jun"
"66","PLNO","Jun",2016,17.25,21,"PLNO_Jun"
"67","PLNO","Jun",2017,15.3,21,"PLNO_Jun"
"68","PLNO","Jun",2018,14.85,21,"PLNO_Jun"
"69","PLNO","Jun",2019,16,21,"PLNO_Jun"
"70","PLNO","Jun",2020,17.5,21,"PLNO_Jun"
"71","PLNO","Jun",2021,18.65,21,"PLNO_Jun"
"72","PLNO","Jun",2022,16.9,21,"PLNO_Jun"
"73","PLNO","Jun",2023,17.95,21,"PLNO_Jun"
"74","PLNO","Jun",2024,16.6,21,"PLNO_Jun"
"75","PLNO","Jul",1993,17.1,21,"PLNO_Jul"
"76","PLNO","Jul",1994,20.2,21,"PLNO_Jul"
"77","PLNO","Jul",1995,19.2,21,"PLNO_Jul"
"78","PLNO","Jul",1997,19,21,"PLNO_Jul"
"79","PLNO","Jul",1998,21.3,21,"PLNO_Jul"
"80","PLNO","Jul",2002,21.9,21,"PLNO_Jul"
"81","PLNO","Jul",2010,22.7,21,"PLNO_Jul"
"82","PLNO","Jul",2011,18.4,21,"PLNO_Jul"
"83","PLNO","Jul",2012,19.8,21,"PLNO_Jul"
"84","PLNO","Jul",2013,23.2,21,"PLNO_Jul"
"85","PLNO","Jul",2014,21.8,21,"PLNO_Jul"
"86","PLNO","Jul",2015,22.6,21,"PLNO_Jul"
"87","PLNO","Jul",2016,19.6,21,"PLNO_Jul"
"88","PLNO","Jul",2017,22.5,21,"PLNO_Jul"
"89","PLNO","Jul",2018,22.6,21,"PLNO_Jul"
"90","PLNO","Jul",2019,20.25,21,"PLNO_Jul"
"91","PLNO","Jul",2020,22.2,21,"PLNO_Jul"
"92","PLNO","Jul",2021,23.7,21,"PLNO_Jul"
"93","PLNO","Jul",2022,25,21,"PLNO_Jul"
"94","PLNO","Jul",2023,23.2,21,"PLNO_Jul"
"95","PLNO","Jul",2024,24.55,21,"PLNO_Jul"
"96","PLNO","Aug",1990,22.25,19,"PLNO_Aug"
"97","PLNO","Aug",1993,19.4,19,"PLNO_Aug"
"98","PLNO","Aug",1994,21.4,19,"PLNO_Aug"
"99","PLNO","Aug",1995,18.2,19,"PLNO_Aug"
"100","PLNO","Aug",1998,21.6,19,"PLNO_Aug"
"101","PLNO","Aug",2008,20.45,19,"PLNO_Aug"
"102","PLNO","Aug",2010,19.1,19,"PLNO_Aug"
"103","PLNO","Aug",2011,21.2,19,"PLNO_Aug"
"104","PLNO","Aug",2012,20.7,19,"PLNO_Aug"
"105","PLNO","Aug",2013,24.5,19,"PLNO_Aug"
"106","PLNO","Aug",2014,20.6,19,"PLNO_Aug"
"107","PLNO","Aug",2016,21.65,19,"PLNO_Aug"
"108","PLNO","Aug",2017,21.85,19,"PLNO_Aug"
